GVKEY,LINKPRIM,LIID,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,iid,datadate,tic,cusip,conm,ajexdi,cshoc,prccd,trfd,exchg,ccmbegdt
001690,P,01,LU,14593,7,19801212,E,01,19831230,AAPL,037833100,APPLE INC,224.00000000,,24.37500000,,14,19830101
001690,P,01,LU,14593,7,19801212,E,01,19840102,AAPL,037833100,APPLE INC,,,,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840103,AAPL,037833100,APPLE INC,224.00000000,,25.62500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840104,AAPL,037833100,APPLE INC,224.00000000,,27.87500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840105,AAPL,037833100,APPLE INC,224.00000000,,28.25000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840106,AAPL,037833100,APPLE INC,224.00000000,,27.75000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840109,AAPL,037833100,APPLE INC,224.00000000,,26.25000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840110,AAPL,037833100,APPLE INC,224.00000000,,27.62500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840111,AAPL,037833100,APPLE INC,224.00000000,,28.00000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840112,AAPL,037833100,APPLE INC,224.00000000,,27.87500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840113,AAPL,037833100,APPLE INC,224.00000000,,27.25000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840116,AAPL,037833100,APPLE INC,224.00000000,,27.87500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840117,AAPL,037833100,APPLE INC,224.00000000,,28.62500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840118,AAPL,037833100,APPLE INC,224.00000000,,28.75000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840119,AAPL,037833100,APPLE INC,224.00000000,,29.00000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840120,AAPL,037833100,APPLE INC,224.00000000,,28.62500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840123,AAPL,037833100,APPLE INC,224.00000000,,28.87500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840124,AAPL,037833100,APPLE INC,224.00000000,,27.25000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840125,AAPL,037833100,APPLE INC,224.00000000,,27.00000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840126,AAPL,037833100,APPLE INC,224.00000000,,27.62500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840127,AAPL,037833100,APPLE INC,224.00000000,,26.12500000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840130,AAPL,037833100,APPLE INC,224.00000000,,24.75000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840131,AAPL,037833100,APPLE INC,224.00000000,,24.75000000,1,14,19830201
001690,P,01,LU,14593,7,19801212,E,01,19840201,AAPL,037833100,APPLE INC,224.00000000,,24.62500000,1,14,19830301
001690,P,01,LU,14593,7,19801212,E,01,19840202,AAPL,037833100,APPLE INC,224.00000000,,24.87500000,1,14,19830301
001690,P,01,LU,14593,7,19801212,E,01,19840203,AAPL,037833100,APPLE INC,224.00000000,,24.50000000,1,14,19830301
001690,P,01,LU,14593,7,19801212,E,01,19840206,AAPL,037833100,APPLE INC,224.00000000,,23.25000000,1,14,19830301
001690,P,01,LU,14593,7,19801212,E,01,19840207,AAPL,037833100,APPLE INC,224.00000000,,24.12500000,1,14,19830301
001690,P,01,LU,14593,7,19801212,E,01,19840208,AAPL,037833100,APPLE INC,224.00000000,,23.25000000,1,14,19830301
001690,P,01,LU,14593,7,19801212,E,01,19840209,AAPL,037833100,APPLE INC,224.00000000,,23.62500000,1,14,19830301
