caldt,vwretd,ewretd,sprtrn,CAP1RET,CAP2RET,CAP3RET,CAP4RET,CAP5RET,CAP6RET,CAP7RET,CAP8RET,CAP9RET,CAP10RET
19251231,,,,,,,,,,,,,
19260102,0.005689,0.009516,,0.014285,0.007931,0.006596,0.007312,0.012077,0.006486,0.004858,0.004686,0.004486,0.005878
19260104,0.000706,0.005780,,0.012082,0.011326,0.010604,0.004228,0.005428,0.003829,0.001674,0.002991,-0.000001,-0.000304
19260105,-0.004821,-0.001927,,0.014592,0.007732,-0.007951,-0.002597,-0.000010,-0.006224,0.000681,-0.007872,-0.008293,-0.004200
19260106,-0.000423,0.001182,,0.004721,0.001637,0.003342,-0.005503,0.003730,0.001104,-0.000188,-0.001044,-0.000183,-0.000622
19260107,0.004988,0.008453,,0.021848,0.019922,0.004934,0.008211,0.006591,0.000558,0.004555,0.004212,0.007429,0.004287
19260108,-0.003238,-0.001689,,-0.002982,-0.005584,-0.002570,-0.001852,-0.001779,-0.000433,-0.006391,-0.003303,-0.006098,-0.002342
19260109,0.002209,0.003312,,0.009114,0.005686,0.006042,0.003445,0.004543,0.002308,0.002082,0.002704,0.002750,0.001716
19260111,-0.008540,-0.009943,,-0.001564,-0.011280,-0.009456,-0.013870,-0.015754,-0.008725,-0.008663,-0.008143,-0.006679,-0.008685
19260112,-0.000929,-0.003623,,-0.020202,-0.010769,-0.002074,-0.002550,0.003717,-0.005088,0.001522,-0.004085,0.000238,-0.000695
19260113,0.003700,0.007576,,0.018263,0.006304,0.006313,0.014127,0.005783,0.007522,0.006208,0.006139,0.006663,0.001537
19260114,-0.005034,-0.002847,,0.007067,-0.002674,-0.004822,-0.001844,-0.011151,-0.003342,-0.006000,-0.002923,-0.004306,-0.005515
19260115,-0.012688,-0.013091,,-0.013428,0.000330,-0.016183,-0.018871,-0.017169,-0.011809,-0.011995,-0.012926,-0.015309,-0.011740
19260116,-0.001224,-0.001544,,-0.003277,-0.008638,-0.000161,0.000079,0.001244,-0.002787,-0.000317,0.001579,-0.000930,-0.001816
19260118,0.005244,0.006018,,0.003893,0.010977,0.003200,0.009604,0.012335,0.002671,0.002128,0.004822,0.006523,0.004958
19260119,-0.010983,-0.011350,,-0.017762,-0.009361,-0.006498,-0.014371,-0.013857,-0.012992,-0.011134,-0.010609,-0.013265,-0.010139
19260120,0.004059,-0.001376,,-0.006099,-0.007310,-0.008115,-0.004589,0.001388,0.000997,-0.001399,0.001630,0.004920,0.005606
19260121,-0.007062,-0.003772,,-0.000651,0.000026,-0.005486,-0.006524,-0.000814,-0.003626,-0.003413,-0.004788,-0.007114,-0.008298
19260122,0.005029,0.002281,,-0.008952,-0.002539,0.000207,0.005574,0.000135,0.003023,0.003617,0.007069,0.002772,0.005992
19260123,0.005657,0.006987,,0.011350,0.003100,0.007187,0.008686,0.007668,0.006096,0.004994,0.005321,0.008719,0.004653
19260125,0.004723,0.006726,,0.009944,0.005445,0.004302,0.005641,0.006273,0.003695,0.006372,0.008046,0.006037,0.003596
19260126,-0.005384,-0.005749,,-0.012775,0.003193,-0.002964,-0.004176,-0.006694,-0.001271,-0.004032,-0.009731,-0.007056,-0.004612
19260127,0.007170,0.005280,,0.012507,-0.000345,-0.001367,0.007745,0.007658,0.001807,0.003527,0.006572,0.009128,0.007474
19260128,0.003801,0.007786,,0.023057,-0.002132,0.010801,0.011149,0.005098,0.008685,0.008836,0.004860,0.003336,0.002661
19260129,0.008204,0.008687,,0.021343,0.015954,0.003044,0.009381,0.008793,0.007480,0.007278,0.008238,0.008894,0.008008
19260130,0.000687,0.004532,,0.027091,0.013117,0.002971,0.001869,0.002954,0.000354,0.000100,0.003171,0.000044,0.000120
19260201,-0.002864,-0.002473,,-0.005667,-0.001999,-0.004484,-0.006151,-0.001691,-0.006509,-0.001961,-0.001476,-0.002081,-0.003127
19260202,0.005334,0.004416,,0.004577,0.004365,0.001987,0.005317,0.008528,0.001176,0.003950,0.005518,0.005984,0.005410
19260203,0.005243,0.005728,,0.016919,-0.001994,0.006801,0.008847,0.005848,0.003539,0.006267,0.001876,0.007530,0.004995
19260204,0.005120,0.004818,,0.014866,0.012601,0.008906,0.005343,0.001190,0.002950,0.003754,0.000574,0.003424,0.006516
19260205,-0.000215,0.002155,,0.008803,-0.002090,0.009066,-0.002894,0.002522,0.004883,-0.000369,-0.002478,0.000169,-0.000448
19260206,0.000577,0.001864,,-0.008269,-0.000247,0.004936,0.000039,0.001025,0.000264,-0.000110,0.003260,0.000071,0.000346
19260208,-0.006726,-0.007355,,-0.006671,-0.005501,-0.011801,-0.005512,-0.007502,-0.007570,-0.003363,-0.012486,-0.006583,-0.006029
19260209,0.005670,0.008391,,0.018642,0.015078,0.010984,0.002026,0.007477,0.008030,0.006469,0.007486,0.009029,0.003950
19260210,0.000740,-0.001415,,-0.003640,-0.009823,-0.000852,0.002279,-0.001800,-0.001029,-0.001866,-0.004748,-0.002786,0.003226
19260211,0.000895,0.000118,,0.001365,0.000655,0.001793,-0.002126,-0.002054,-0.002500,-0.001403,-0.000850,0.001065,0.001686
19260213,-0.001137,-0.002787,,-0.002249,-0.000725,-0.004713,-0.013026,-0.002774,0.000364,-0.002039,-0.006215,-0.002280,0.000485
19260215,-0.019659,-0.023189,,-0.031322,-0.019587,-0.025125,-0.032343,-0.029998,-0.019052,-0.023570,-0.022940,-0.020960,-0.017529
19260216,0.003382,0.001602,,-0.003443,-0.004836,0.004371,0.006481,0.002774,-0.000719,0.003878,0.005415,0.000874,0.004025
19260217,0.005186,0.003319,,-0.001254,0.000411,0.004318,0.001868,0.006458,0.003865,0.003628,0.007890,0.005764,0.004940
19260218,0.002033,0.003514,,-0.002445,0.006976,0.000993,0.007829,0.007318,0.001090,0.001668,0.000941,0.004862,0.001079
19260219,0.000291,-0.003348,,-0.008776,-0.005266,-0.003867,-0.004137,-0.003936,-0.005039,-0.000447,-0.001908,0.000457,0.001414
19260220,-0.001115,-0.000378,,0.010345,-0.001589,-0.000441,0.000123,-0.001793,-0.002266,-0.000357,-0.002662,-0.000799,-0.001044
19260223,-0.009218,-0.009866,,-0.005753,-0.008039,-0.009257,-0.007289,-0.015083,-0.008574,-0.010054,-0.009838,-0.011767,-0.008182
19260224,-0.004304,-0.007171,,-0.021940,-0.018488,-0.010335,-0.013671,-0.006727,-0.005444,-0.006727,-0.003074,-0.004914,-0.003332
19260225,-0.010465,-0.011729,,-0.012174,-0.018609,-0.006490,-0.012653,-0.014637,-0.003712,-0.010379,-0.013571,-0.009479,-0.010377
19260226,-0.013364,-0.017176,,-0.021175,-0.014563,-0.016568,-0.018272,-0.024751,-0.015144,-0.018019,-0.013542,-0.016644,-0.011158
19260227,0.000758,0.000943,,0.007353,0.001282,0.000233,-0.005574,0.001004,-0.003519,-0.002687,0.001218,0.002467,0.000856
19260301,-0.013277,-0.014712,,-0.015409,-0.012047,-0.018787,-0.011383,-0.015828,-0.018358,-0.014775,-0.013651,-0.013740,-0.012524
19260302,-0.025525,-0.027970,,-0.037742,-0.024700,-0.027118,-0.033803,-0.028451,-0.023170,-0.030009,-0.034485,-0.030288,-0.022024
19260303,-0.018591,-0.026268,,-0.030875,-0.035058,-0.030094,-0.018557,-0.031136,-0.025062,-0.031168,-0.027046,-0.018089,-0.015091
19260304,0.041403,0.043254,,0.031586,0.038367,0.041519,0.045853,0.050736,0.033876,0.040839,0.048850,0.045769,0.039074
19260305,0.006305,0.017716,,0.037885,0.017391,0.020130,0.014651,0.015773,0.011826,0.018901,0.010900,0.010227,0.002008
19260306,-0.003078,-0.001583,,-0.008023,0.011230,-0.002932,-0.000029,0.000818,0.000522,-0.002167,-0.004580,-0.004532,-0.003054
19260308,-0.006076,-0.011374,,-0.000128,-0.008705,-0.021040,-0.014294,-0.017373,-0.012921,-0.013058,-0.009634,-0.007645,-0.003214
19260309,0.007683,0.012820,,0.002967,0.012369,0.016860,0.017545,0.021139,0.012384,0.013433,0.012349,0.008544,0.005011
19260310,0.008828,0.010522,,0.018686,0.004779,0.009199,0.014622,0.011227,0.008825,0.008305,0.011215,0.008279,0.008410
19260311,0.006263,0.005776,,0.006144,0.004472,0.003009,0.006711,0.005473,0.007528,0.002789,0.005342,0.006373,0.006709
19260312,0.003438,0.003573,,-0.000923,0.011800,0.000798,0.000042,0.009201,0.001067,0.003164,0.004429,0.003533,0.003250
