caldt,prtnam,totret
19251231,1,
19251231,2,
19251231,3,
19251231,4,
19251231,5,
19251231,6,
19251231,7,
19251231,8,
19251231,9,
19251231,10,
19251231,1_2,
19251231,3_5,
19251231,6_8,
19251231,9_10,
19251231,1_5,
19251231,6_10,
19251231,Mrkt,
19260130,1,-0.004031
19260130,2,0.002728
19260130,3,0.005796
19260130,4,0.008535
19260130,5,-0.011396
19260130,6,0.027443
19260130,7,0.021429
19260130,8,0.002392
19260130,9,0.052900
19260130,10,0.146021
19260130,1_2,-0.002459
19260130,3_5,0.003371
19260130,6_8,0.020194
19260130,9_10,0.076462
19260130,1_5,-0.001335
19260130,6_10,0.028192
19260130,Mrkt,0.000446
19260227,1,-0.024657
19260227,2,-0.026461
19260227,3,-0.059177
19260227,4,-0.053939
19260227,5,-0.048471
19260227,6,-0.071754
19260227,7,-0.073808
19260227,8,-0.052634
19260227,9,-0.072479
19260227,10,-0.037773
19260227,1_2,-0.025085
19260227,3_5,-0.055511
19260227,6_8,-0.068487
19260227,9_10,-0.062918
19260227,1_5,-0.030997
19260227,6_10,-0.067652
19260227,Mrkt,-0.033308
19260331,1,-0.052027
19260331,2,-0.077786
19260331,3,-0.076180
19260331,4,-0.094376
19260331,5,-0.096549
19260331,6,-0.090953
19260331,7,-0.104965
19260331,8,-0.129975
19260331,9,-0.096184
19260331,10,-0.132185
19260331,1_2,-0.058150
19260331,3_5,-0.085824
19260331,6_8,-0.103927
19260331,9_10,-0.106031
19260331,1_5,-0.063443
19260331,6_10,-0.104244
19260331,Mrkt,-0.066002
19260430,1,0.037645
19260430,2,0.033402
19260430,3,0.035611
19260430,4,0.049899
19260430,5,0.024346
19260430,6,0.060171
19260430,7,0.043767
19260430,8,0.006535
19260430,9,0.017236
19260430,10,0.034664
19260430,1_2,0.036691
19260430,3_5,0.037721
19260430,6_8,0.043615
19260430,9_10,0.021694
19260430,1_5,0.036880
19260430,6_10,0.040332
19260430,Mrkt,0.037081
19260528,1,0.013988
19260528,2,0.010071
19260528,3,0.015732
19260528,4,0.010204
19260528,5,-0.007994
19260528,6,0.018061
19260528,7,0.007201
19260528,8,0.005469
19260528,9,-0.021662
19260528,10,-0.010350
19260528,1_2,0.013111
